BASIN,LOCATION,RIVMILE,coll_date,collect,replicate,genspecies,indiv
13,SPAR,5,9/8/2014,1,1,Antocha sp.,1
13,SPAR,5,9/8/2014,1,1,Baetis intercalaris,4
13,SPAR,5,9/8/2014,1,1,Cheumatopsyche sp.,18
13,SPAR,5,9/8/2014,1,1,Cricotopus/Orthocladius Complex,3
13,SPAR,5,9/8/2014,1,1,Gammarus sp.,1
13,SPAR,5,9/8/2014,1,1,Hydropsyche betteni,32
13,SPAR,5,9/8/2014,1,1,Parametriocnemus sp.,1
13,SPAR,5,9/8/2014,1,1,Polypedilum flavum,5
13,SPAR,5,9/8/2014,1,1,Polypedilum illinoense,9
13,SPAR,5,9/8/2014,1,1,Simulium sp.,5
13,SPAR,5,9/8/2014,1,1,Stylogomphus albystilus,2
13,SPAR,5,9/8/2014,1,1,Tanytarsus sp.,1
13,SPAR,5,9/8/2014,1,1,Thienemannimyia gr. spp.,2
13,SPAR,5,9/8/2014,1,1,Tvetenia bavarica gr.,2
13,SPAR,5,9/8/2014,1,1,Undetermined Lumbriculidae,2
13,SPAR,5,9/8/2014,1,1,Undetermined Turbellaria,12
13,SPAR,4,7/31/2012,1,1,Micromenetus dilatatus,1
13,SPAR,4,7/31/2012,1,1,Baetis intercalaris,1
13,SPAR,4,7/31/2012,1,1,Stenelmis sp.,10
13,SPAR,4,7/31/2012,1,1,Hydroptila sp.,1
13,SPAR,4,7/31/2012,1,1,Hydropsyche betteni,21
13,SPAR,4,7/31/2012,1,1,Cheumatopsyche sp.,20
13,SPAR,4,7/31/2012,1,1,Gammarus sp.,28
13,SPAR,4,7/31/2012,1,1,Antocha sp.,3
13,SPAR,4,7/31/2012,1,1,Undetermined Turbellaria,8
13,SPAR,4,7/31/2012,1,1,Caecidotea sp.,3
13,SPAR,4,7/31/2012,1,1,Paratendipes sp.,1
13,SPAR,4,7/31/2012,1,1,Chaetocladius sp.,1
13,SPAR,4,7/31/2012,1,1,Stictochironomus sp.,1
13,SPAR,4,7/31/2012,1,1,Stenacron interpunctatum,1
13,SPAR,4,8/14/2013,1,1,Polypedilum flavum,8
13,SPAR,4,8/14/2013,1,1,Stenelmis sp.,9
13,SPAR,4,8/14/2013,1,1,Baetis intercalaris,1
13,SPAR,4,8/14/2013,1,1,Undetermined Gomphidae,1
13,SPAR,4,8/14/2013,1,1,Hydroptila sp.,1
13,SPAR,4,8/14/2013,1,1,Caecidotea sp.,8
13,SPAR,4,8/14/2013,1,1,Stenacron interpunctatum,5
13,SPAR,4,8/14/2013,1,1,Undetermined Turbellaria,3
13,SPAR,4,8/14/2013,1,1,Dicrotendipes sp.,2
13,SPAR,4,8/14/2013,1,1,Cheumatopsyche sp.,18
13,SPAR,4,8/14/2013,1,1,Rheotanytarsus sp.,3
13,SPAR,4,8/14/2013,1,1,Polypedilum illinoense,6
13,SPAR,4,8/14/2013,1,1,Hydropsyche betteni,15
13,SPAR,4,8/14/2013,1,1,Cricotopus sp.,1
13,SPAR,4,8/14/2013,1,1,Paratanytarsus sp.,1
13,SPAR,4,8/14/2013,1,1,Gammarus sp.,18
